programId,collegeId,collegeName,slug,city,state,division,conference,coachCount,inferredBaseballWebsiteUrl,sourceType,confidence,selectedSource,allContactUrls,allBioUrls
cmosumzxq004bqtlgcux50apa,cmosumzx30049qtlgomg2y8hl,Arizona,arizona,Tucson,AZ,NCAA_D1,,4,https://arizonawildcats.com/sports/baseball,COACH_CONTACT_URL,HIGH,https://arizonawildcats.com/sports/baseball/coaches/2026,https://arizonawildcats.com/sports/baseball/coaches/2026 | https://arizonawildcats.com/sports/baseball/coaches/2026 | https://arizonawildcats.com/sports/baseball/coaches/2026 | https://arizonawildcats.com/sports/baseball/coaches/2026,https://arizonawildcats.com/sports/baseball/roster/coaches/chip-hale/6509 | https://arizonawildcats.com/sports/baseball/roster/coaches/sean-kenny/6609 | https://arizonawildcats.com/sports/baseball/roster/coaches/toby-demello/6511 | https://arizonawildcats.com/sports/baseball/roster/coaches/trip-couch/6510
cmosumzz4004eqtlggz9328ng,cmosumzyf004cqtlgurkdv8j2,Arizona State University,arizona-state-university,Tempe,AZ,NCAA_D1,,4,https://thesundevils.com/sports/baseball,COACH_CONTACT_URL,HIGH,https://thesundevils.com/sports/baseball/coaches/2025,https://thesundevils.com/sports/baseball/coaches/2025 | https://thesundevils.com/sports/baseball/coaches/2025 | https://thesundevils.com/sports/baseball/coaches/2025 | https://thesundevils.com/sports/baseball/coaches/2025,https://thesundevils.com/sports/baseball/roster/season/2025/staff/willie-bloomquist | https://thesundevils.com/sports/baseball/roster/season/2025/staff/jason-ellison | https://thesundevils.com/sports/baseball/roster/season/2025/staff/jeremy-accardo | https://thesundevils.com/sports/baseball/roster/season/2025/staff/sam-peraza
cmou6925z009eqt1gaqjdu3za,cmou6925b009cqt1gkx1kghnj,Austin Peay State University,austin-peay-state-university,Clarksville,TN,NCAA_D1,,3,https://letsgopeay.com/sports/baseball,COACH_CONTACT_URL,HIGH,https://letsgopeay.com/sports/baseball/coaches/2026,https://letsgopeay.com/sports/baseball/coaches/2026 | https://letsgopeay.com/sports/baseball/coaches/2026 | https://letsgopeay.com/sports/baseball/coaches/2026,https://letsgopeay.com/sports/baseball/roster/coaches/roland-fanning/4255 | https://letsgopeay.com/sports/baseball/roster/coaches/jon-littell/4257 | https://letsgopeay.com/sports/baseball/roster/coaches/keirce-kimbel/4256
cmosun01s004kqtlg2b6mlqcd,cmosun015004iqtlg3arpxgbi,BYU,byu,Provo,UT,NCAA_D1,,4,https://byucougars.com/sports/baseball,COACH_CONTACT_URL,HIGH,https://byucougars.com/sports/baseball/roster#sidearm-roster-coaches,https://byucougars.com/sports/baseball/roster#sidearm-roster-coaches | https://byucougars.com/sports/baseball/roster#sidearm-roster-coaches | https://byucougars.com/sports/baseball/roster#sidearm-roster-coaches | https://byucougars.com/sports/baseball/roster#sidearm-roster-coaches,https://byucougars.com/sports/baseball/roster/season/2026/staff/trent-pratt | https://byucougars.com/sports/baseball/roster/season/2026/staff/adam-law | https://byucougars.com/sports/baseball/roster/season/2026/staff/adrian-dinkel | https://byucougars.com/sports/baseball/roster/season/2026/staff/brycen-campbell
cmosun00i004hqtlgy3534tz1,cmosumzzu004fqtlg454szeg8,Baylor University,baylor-university,Waco,TX,NCAA_D1,,4,https://baylorbears.com/sports/baseball,COACH_CONTACT_URL,HIGH,https://baylorbears.com/sports/baseball/roster/2026#sidearm-roster-coaches,https://baylorbears.com/sports/baseball/roster/2026#sidearm-roster-coaches | https://baylorbears.com/sports/baseball/roster/2026#sidearm-roster-coaches | https://baylorbears.com/sports/baseball/roster/2026#sidearm-roster-coaches | https://baylorbears.com/sports/baseball/roster/2026#sidearm-roster-coaches,https://baylorbears.com/sports/baseball/roster/coaches/mitch-thompson/2913 | https://baylorbears.com/sports/baseball/roster/coaches/jim-blair/2915 | https://baylorbears.com/sports/baseball/roster/coaches/sean-snedeker/2918 | https://baylorbears.com/sports/baseball/roster/coaches/zach-dillon/2914
cmou6927d009hqt1g6ojn2uy0,cmou6926p009fqt1gv6h5xaxk,Bellarmine University,bellarmine-university,Louisville,KY,NCAA_D1,,4,https://athletics.bellarmine.edu/sports/baseball,COACH_CONTACT_URL,HIGH,https://athletics.bellarmine.edu/sports/baseball/coaches/2026,https://athletics.bellarmine.edu/sports/baseball/coaches/2026 | https://athletics.bellarmine.edu/sports/baseball/coaches/2026 | https://athletics.bellarmine.edu/sports/baseball/coaches/2026 | https://athletics.bellarmine.edu/sports/baseball/coaches/2026,https://athletics.bellarmine.edu/sports/baseball/roster/coaches/ben-reel/1523 | https://athletics.bellarmine.edu/sports/baseball/roster/coaches/daylan-nanny/1521 | https://athletics.bellarmine.edu/sports/baseball/roster/coaches/ross-goldschlag/1526 | https://athletics.bellarmine.edu/sports/baseball/roster/coaches/seth-sweet-chick/1566
cmosownis0002qtuoado2ywvj,cmosownei0000qtuolkw0dovw,Boston College,boston-college,Chestnut Hill,MA,NCAA_D1,,3,https://bceagles.com/sports/baseball,COACH_CONTACT_URL,HIGH,https://bceagles.com/sports/baseball/roster/2026#sidearm-roster-coaches,https://bceagles.com/sports/baseball/roster/2026#sidearm-roster-coaches | https://bceagles.com/sports/baseball/roster/2026#sidearm-roster-coaches | https://bceagles.com/sports/baseball/roster/2026#sidearm-roster-coaches,https://bceagles.com/sports/baseball/roster/coaches/todd-interdonato/2867 | https://bceagles.com/sports/baseball/roster/coaches/jack-housinger/2870 | https://bceagles.com/sports/baseball/roster/coaches/ryan-forrest/2868
cmorirv5q0012qtm028k9yq81,cmorirv530010qtm0xxcup0nz,Campbell University,campbell-university,Buies Creek,NC,NCAA_D1,,4,https://gocamels.com/sports/baseball,COACH_CONTACT_URL,HIGH,https://gocamels.com/sports/baseball/coaches/2026,https://gocamels.com/sports/baseball/coaches/2026 | https://gocamels.com/sports/baseball/coaches/2026 | https://gocamels.com/sports/baseball/coaches/2026 | https://gocamels.com/sports/baseball/coaches/2026,https://gocamels.com/sports/baseball/roster/coaches/chris-marx/1343 | https://gocamels.com/sports/baseball/roster/coaches/adam-wyse/1342 | https://gocamels.com/sports/baseball/roster/coaches/seth-larue/1345 | https://gocamels.com/sports/baseball/roster/coaches/travis-stone/1344
cmou6tv0p00b8qti0d062ek6f,cmou6tv0000b6qti0uw8kd0th,Charleston Southern University,charleston-southern-university,Charleston,SC,NCAA_D1,,4,https://csusports.com/sports/baseball,COACH_CONTACT_URL,HIGH,https://csusports.com/sports/baseball/coaches/2026,https://csusports.com/sports/baseball/coaches/2026 | https://csusports.com/sports/baseball/coaches/2026 | https://csusports.com/sports/baseball/coaches/2026 | https://csusports.com/sports/baseball/coaches/2026,https://csusports.com/sports/baseball/roster/coaches/karl-kuhn/707 | https://csusports.com/sports/baseball/roster/coaches/brett-young/708 | https://csusports.com/sports/baseball/roster/coaches/kirby-mcguire/709 | https://csusports.com/sports/baseball/roster/coaches/kyle-sarazin/711
cmorihuzp0005qth8tz9l0qy6,cmorihuy70003qth8lteegu87,Clemson University,clemson-university,Clemson,SC,NCAA_D1,,4,https://clemsontigers.com/sports/baseball,COACH_CONTACT_URL,HIGH,https://clemsontigers.com/sports/baseball/roster#sidearm-roster-coaches,https://clemsontigers.com/sports/baseball/roster#sidearm-roster-coaches | https://clemsontigers.com/sports/baseball/roster#sidearm-roster-coaches | https://clemsontigers.com/sports/baseball/roster#sidearm-roster-coaches | https://clemsontigers.com/sports/baseball/roster#sidearm-roster-coaches,https://clemsontigers.com/sports/baseball/roster/season/2025/staff/erik-bakich | https://clemsontigers.com/sports/baseball/roster/season/2025/staff/griffin-mazur | https://clemsontigers.com/sports/baseball/roster/season/2025/staff/jimmy-belanger | https://clemsontigers.com/sports/baseball/roster/season/2025/staff/nick-schnabel
