slug,collegeName,division,conference,currentBaseballWebsiteUrl,replacementBaseballWebsiteUrl,reviewStatus
syracuse-university,Syracuse University,NCAA_D1,ACC,,,NEEDS_REPLACEMENT
iowa-state-university,Iowa State University,NCAA_D1,Big 12,,,NEEDS_REPLACEMENT
university-of-colorado-boulder,University of Colorado Boulder,NCAA_D1,Big 12,,,NEEDS_REPLACEMENT
butler-university,Butler University,NCAA_D1,Big East,,,NEEDS_REPLACEMENT
marquette-university,Marquette University,NCAA_D1,Big East,,,NEEDS_REPLACEMENT
wisconsin,University of Wisconsin,NCAA_D1,Big Ten,,,NEEDS_REPLACEMENT
university-of-northern-iowa,University of Northern Iowa,NCAA_D1,Missouri Valley,,,NEEDS_REPLACEMENT
boise-state-university,Boise State University,NCAA_D1,Mountain West,,,NEEDS_REPLACEMENT
colorado-state-university,Colorado State University,NCAA_D1,Mountain West,,,NEEDS_REPLACEMENT
university-of-wyoming,University of Wyoming,NCAA_D1,Mountain West,,,NEEDS_REPLACEMENT
utah-state-university,Utah State University,NCAA_D1,Mountain West,,,NEEDS_REPLACEMENT
bridgeport,Bridgeport,NCAA_D2,CACC,,,NEEDS_REPLACEMENT
caldwell,Caldwell,NCAA_D2,CACC,,,NEEDS_REPLACEMENT
chestnut-hill,Chestnut Hill,NCAA_D2,CACC,,,NEEDS_REPLACEMENT
dominican-ny,Dominican (NY),NCAA_D2,CACC,,,NEEDS_REPLACEMENT
felician,Felician,NCAA_D2,CACC,,,NEEDS_REPLACEMENT
georgian-court,Georgian Court,NCAA_D2,CACC,,,NEEDS_REPLACEMENT
goldey-beacom,Goldey–Beacom,NCAA_D2,CACC,,,NEEDS_REPLACEMENT
holy-family,Holy Family,NCAA_D2,CACC,,,NEEDS_REPLACEMENT
jefferson,Jefferson,NCAA_D2,CACC,,,NEEDS_REPLACEMENT
lincoln-pa,Lincoln (PA),NCAA_D2,CACC,,,NEEDS_REPLACEMENT
post,Post,NCAA_D2,CACC,,,NEEDS_REPLACEMENT
wilmington,Wilmington,NCAA_D2,CACC,,,NEEDS_REPLACEMENT
cal-poly-pomona,Cal Poly Pomona,NCAA_D2,CCAA,,,NEEDS_REPLACEMENT
cal-state-dominguez-hills,Cal State Dominguez Hills,NCAA_D2,CCAA,,,NEEDS_REPLACEMENT
cal-state-east-bay,Cal State East Bay,NCAA_D2,CCAA,,,NEEDS_REPLACEMENT
cal-state-los-angeles,Cal State Los Angeles,NCAA_D2,CCAA,,,NEEDS_REPLACEMENT
cal-state-monterey-bay,Cal State Monterey Bay,NCAA_D2,CCAA,,,NEEDS_REPLACEMENT
cal-state-san-bernardino,Cal State San Bernardino,NCAA_D2,CCAA,,,NEEDS_REPLACEMENT
cal-state-san-marcos,Cal State San Marcos,NCAA_D2,CCAA,,,NEEDS_REPLACEMENT
cal-state-stanislaus,Cal State Stanislaus,NCAA_D2,CCAA,,,NEEDS_REPLACEMENT
chico-state,Chico State,NCAA_D2,CCAA,,,NEEDS_REPLACEMENT
san-francisco-state,San Francisco State,NCAA_D2,CCAA,,,NEEDS_REPLACEMENT
barton,Barton,NCAA_D2,Carolinas,,,NEEDS_REPLACEMENT
belmont-abbey,Belmont Abbey,NCAA_D2,Carolinas,,,NEEDS_REPLACEMENT
chowan,Chowan,NCAA_D2,Carolinas,,,NEEDS_REPLACEMENT
emmanuel,Emmanuel,NCAA_D2,Carolinas,,,NEEDS_REPLACEMENT
erskine,Erskine,NCAA_D2,Carolinas,,,NEEDS_REPLACEMENT
ferrum,Ferrum,NCAA_D2,Carolinas,,,NEEDS_REPLACEMENT
francis-marion,Francis Marion,NCAA_D2,Carolinas,,,NEEDS_REPLACEMENT
king,King,NCAA_D2,Carolinas,,,NEEDS_REPLACEMENT
mount-olive,Mount Olive,NCAA_D2,Carolinas,,,NEEDS_REPLACEMENT
north-greenville,North Greenville,NCAA_D2,Carolinas,,,NEEDS_REPLACEMENT
shorter,Shorter,NCAA_D2,Carolinas,,,NEEDS_REPLACEMENT
