collegeId,collegeName,slug,city,state,legacyDivision,canonicalDivision,legacyProgramWebsiteUrl,schoolWebsiteUrl,importedCoachCount
cmosumzx30049qtlgomg2y8hl,Arizona,arizona,Tucson,AZ,,NCAA_D1,,https://www.arizona.edu,4
cmosumzyf004cqtlgurkdv8j2,Arizona State University,arizona-state-university,Tempe,AZ,,NCAA_D1,,https://www.asu.edu,4
cmou6925b009cqt1gkx1kghnj,Austin Peay State University,austin-peay-state-university,Clarksville,TN,,NCAA_D1,,https://www.apsu.edu,3
cmosun015004iqtlg3arpxgbi,BYU,byu,Provo,UT,,NCAA_D1,,https://www.byu.edu,4
cmosumzzu004fqtlg454szeg8,Baylor University,baylor-university,Waco,TX,,NCAA_D1,,https://www.baylor.edu,4
cmou6926p009fqt1gv6h5xaxk,Bellarmine University,bellarmine-university,Louisville,KY,,NCAA_D1,,https://www.bellarmine.edu,4
cmosownei0000qtuolkw0dovw,Boston College,boston-college,Chestnut Hill,MA,,NCAA_D1,,https://www.bc.edu,3
cmorirv530010qtm0xxcup0nz,Campbell University,campbell-university,Buies Creek,NC,,NCAA_D1,,https://www.campbell.edu,4
cmou6tv0000b6qti0uw8kd0th,Charleston Southern University,charleston-southern-university,Charleston,SC,,NCAA_D1,,https://www.charlestonsouthern.edu,4
cmorihuy70003qth8lteegu87,Clemson University,clemson-university,Clemson,SC,,NCAA_D1,,https://www.clemson.edu,4
cmorihv0l0006qth8tj4axfti,College of Charleston,college-of-charleston,Charleston,SC,,NCAA_D1,,https://www.cofc.edu,4
cmou6ba2k00afqticpp034jhc,Creighton University,creighton-university,Omaha,NE,,NCAA_D1,,https://www.creighton.edu,4
cmou65q5g008fqt1ovrpzk161,Davidson College,davidson-college,Davidson,NC,,NCAA_D1,,https://www.davidson.edu,4
cmoriruy1000lqtm0hg80trqj,Duke University,duke-university,Durham,NC,,NCAA_D1,,https://www.duke.edu,5
cmoriruzd000oqtm0np271cox,East Carolina University,east-carolina-university,Greenville,NC,,NCAA_D1,,https://www.ecu.edu,3
cmou6929i009lqt1gqrj949vt,Eastern Kentucky University,eastern-kentucky-university,Richmond,KY,,NCAA_D1,,https://www.eku.edu,4
cmou72rdk00c3qtt8y45siwr2,Elon University,elon-university,Elon,NC,,NCAA_D1,,https://www.elon.edu,4
cmou57eah007rqtdw819u1kd8,Florida Atlantic University,florida-atlantic-university,Boca Raton,FL,,NCAA_D1,,https://www.fau.edu,4
cmou692az009oqt1gwyz2tbx3,Florida Gulf Coast University,florida-gulf-coast-university,Fort Myers,FL,,NCAA_D1,,https://www.fgcu.edu,4
cmosownp0000cqtuo7ukk8301,Florida State University,florida-state-university,Tallahassee,FL,,NCAA_D1,,https://www.fsu.edu,4
cmou65q8l008lqt1ozzkwkjhm,Fordham University,fordham-university,Bronx,NY,,NCAA_D1,,https://www.fordham.edu,3
cmou6tv1f00b9qti056wd26tx,Gardner-Webb University,gardner-webb-university,Boiling Springs,NC,,NCAA_D1,,https://gardner-webb.edu,4
cmou65q9z008oqt1ow67o9q0x,George Mason University,george-mason-university,Fairfax,VA,,NCAA_D1,,https://www.gmu.edu,4
cmou65qbg008rqt1omiz03mq1,George Washington University,george-washington-university,Washington,DC,,NCAA_D1,,https://www.gwu.edu,3
cmou6ba5c00alqticm9m1ucs0,Georgetown University,georgetown-university,Washington,DC,,NCAA_D1,,https://www.georgetown.edu,3
cmorirv940019qtm0y88vy537,Georgia Tech,georgia-tech,Atlanta,GA,,NCAA_D1,,https://www.gatech.edu,4
cmorirv3o000xqtm0dw9r5xuo,High Point University,high-point-university,High Point,NC,,NCAA_D1,,https://www.highpoint.edu,4
cmoss3ude002rqtaoztf1hdin,Indiana University,indiana-university,Bloomington,IN,,NCAA_D1,,https://www.iu.edu,4
cmou692c9009rqt1gyfzu2me9,Jacksonville University,jacksonville-university,Jacksonville,FL,,NCAA_D1,,https://www.ju.edu,4
cmosun069004uqtlgldcwzyyz,Kansas State University,kansas-state-university,Manhattan,KS,,NCAA_D1,,https://www.k-state.edu,4
cmou6tv4900bfqti0dl5zm88o,Longwood University,longwood-university,Farmville,VA,,NCAA_D1,,https://www.longwood.edu,3
cmoss3uj00033qtao6edcy6t4,Michigan State University,michigan-state-university,East Lansing,MI,,NCAA_D1,,https://msu.edu,4
cmou72rez00c6qtt8vg07t3mb,Monmouth University,monmouth-university,West Long Branch,NJ,,NCAA_D1,,https://www.monmouth.edu,3
cmou72rgb00c9qtt82x6a8jc6,North Carolina A&T State University,north-carolina-at-state-university,Greensboro,NC,,NCAA_D1,,https://www.ncat.edu,4
cmoriruwm000iqtm02t4sd889,North Carolina State University,north-carolina-state-university,Raleigh,NC,,NCAA_D1,,https://www.ncsu.edu,4
cmoss3un1003cqtao6c08qtft,Northwestern University,northwestern-university,Evanston,IL,,NCAA_D1,,https://www.northwestern.edu,4
cmoss3uob003fqtaoxl8favwc,Ohio State University,ohio-state-university,Columbus,OH,,NCAA_D1,,https://www.osu.edu,4
cmosun07l004xqtlgmfv1xuiu,Oklahoma State University,oklahoma-state-university,Stillwater,OK,,NCAA_D1,,https://www.okstate.edu,4
cmoss3upz003iqtao5i62w3ay,Penn State University,penn-state-university,University Park,PA,,NCAA_D1,,https://www.psu.edu,4
cmou6tv5p00biqti096g6a7i8,Presbyterian College,presbyterian-college,Clinton,SC,,NCAA_D1,,https://www.presby.edu,4
cmoss3ura003lqtaodex5xyz9,Purdue University,purdue-university,West Lafayette,IN,,NCAA_D1,,https://www.purdue.edu,4
cmorj0gtv002lqtio6lhkp2sn,Queens University of Charlotte,queens-university-of-charlotte,Charlotte,NC,,NCAA_D1,,https://www.queens.edu,3
cmou57edu007xqtdwf0oux6v3,Rice University,rice-university,Houston,TX,,NCAA_D1,,https://www.rice.edu,4
cmoss3usl003oqtaorrzcvm28,Rutgers University,rutgers-university,New Brunswick,NJ,,NCAA_D1,,https://www.rutgers.edu,4
cmou65qh80093qt1oh6psc6h9,Saint Joseph's University,saint-josephs-university,Philadelphia,PA,,NCAA_D1,,https://www.sju.edu,4
cmou65qio0096qt1o4osfjy36,Saint Louis University,saint-louis-university,St. Louis,MO,,NCAA_D1,,https://www.slu.edu,4
cmou6baap00axqtic1q6c8vze,Seton Hall University,seton-hall-university,South Orange,NJ,,NCAA_D1,,https://www.shu.edu,3
cmou6ba9d00auqtichfm9m8f7,St. John's University,st-johns-university,Queens,NY,,NCAA_D1,,https://www.stjohns.edu,4
cmosowo0s0010qtuovb31mcy3,Stanford University,stanford-university,Stanford,CA,,NCAA_D1,,https://www.stanford.edu,4
cmou692i900a3qt1ge0op0qbf,Stetson University,stetson-university,DeLand,FL,,NCAA_D1,,https://www.stetson.edu,4
cmou72rj700cfqtt8j1fo71oa,Stony Brook University,stony-brook-university,Stony Brook,NY,,NCAA_D1,,https://www.stonybrook.edu,3
cmosun08u0050qtlg3k28eb5j,TCU,tcu,Fort Worth,TX,,NCAA_D1,,https://www.tcu.edu,4
cmosun0a30053qtlgwqx8pc03,Texas Tech University,texas-tech-university,Lubbock,TX,,NCAA_D1,,https://www.ttu.edu,4
cmou72rkm00ciqtt8z62e367q,Towson University,towson-university,Towson,MD,,NCAA_D1,,https://www.towson.edu,4
cmou57ejn0086qtdwaxqor803,Tulane University,tulane-university,New Orleans,LA,,NCAA_D1,,https://www.tulane.edu,4
cmosun0bd0056qtlg87u13vxx,UCF,ucf,Orlando,FL,,NCAA_D1,,https://www.ucf.edu,4
cmossumq5003xqtpgz2376dpb,UCLA,ucla,Los Angeles,CA,,NCAA_D1,,https://www.ucla.edu,4
cmou6tv8i00boqti0vjvm8aer,UNC Asheville,unc-asheville,Asheville,NC,,NCAA_D1,,https://www.unca.edu,2
cmou6tv9y00brqti0h1og2mt7,USC Upstate,usc-upstate,Spartanburg,SC,,NCAA_D1,,https://www.uscupstate.edu,4
cmou57e5s007iqtdwb3g795nq,University of Alabama at Birmingham,university-of-alabama-at-birmingham,Birmingham,AL,,NCAA_D1,,https://www.uab.edu,5
cmosownko0003qtuom8wxpo9s,University of California Berkeley,university-of-california-berkeley,Berkeley,CA,,NCAA_D1,,https://www.berkeley.edu,4
cmou69282009iqt1gxj2iub11,University of Central Arkansas,university-of-central-arkansas,Conway,AR,,NCAA_D1,,https://uca.edu,4
cmosun02f004lqtlg6en5evwj,University of Cincinnati,university-of-cincinnati,Cincinnati,OH,,NCAA_D1,,https://www.uc.edu,4
cmou6ba1700acqtict3598yzg,University of Connecticut,university-of-connecticut,Storrs,CT,,NCAA_D1,,https://uconn.edu,4
cmou65q73008iqt1o6zbgwgae,University of Dayton,university-of-dayton,Dayton,OH,,NCAA_D1,,https://udayton.edu,4
cmosun03o004oqtlgjeqvedtg,University of Houston,university-of-houston,Houston,TX,,NCAA_D1,,https://www.uh.edu,4
cmoss3uby002oqtao54kmml5m,University of Illinois,university-of-illinois,Champaign,IL,,NCAA_D1,,https://illinois.edu,4
cmoss3uew002uqtao33d0b37y,University of Iowa,university-of-iowa,Iowa City,IA,,NCAA_D1,,https://uiowa.edu,4
cmosun04x004rqtlgmuopyesz,University of Kansas,university-of-kansas,Lawrence,KS,,NCAA_D1,,https://ku.edu,4
cmosownru000iqtuo4o7sl6mq,University of Louisville,university-of-louisville,Louisville,KY,,NCAA_D1,,https://louisville.edu,4
cmoss3uga002xqtaoeu7linqc,University of Maryland,university-of-maryland,College Park,MD,,NCAA_D1,,https://umd.edu,4
cmou57ece007uqtdws2374kvt,University of Memphis,university-of-memphis,Memphis,TN,,NCAA_D1,,https://www.memphis.edu,4
cmosowntd000lqtuoyvr4xd0q,University of Miami,university-of-miami,Coral Gables,FL,,NCAA_D1,,https://welcome.miami.edu,4
cmoss3uhm0030qtaobbllk1g1,University of Michigan,university-of-michigan,Ann Arbor,MI,,NCAA_D1,,https://umich.edu,4
cmoss3ukd0036qtao5inxhdyw,University of Minnesota,university-of-minnesota,Minneapolis,MN,,NCAA_D1,,https://twin-cities.umn.edu,4
cmoss3ulp0039qtaosklsgdir,University of Nebraska,university-of-nebraska,Lincoln,NE,,NCAA_D1,,https://www.unl.edu,4
cmou692dm009uqt1gk17ovy4y,University of North Alabama,university-of-north-alabama,Florence,AL,,NCAA_D1,,https://www.una.edu,4
cmorihv4u000fqth8xhav3tg9,University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,Chapel Hill,NC,,NCAA_D1,,https://www.unc.edu,4
cmou57e7n007lqtdw6grlj0yo,University of North Carolina at Charlotte,university-of-north-carolina-at-charlotte,Charlotte,NC,,NCAA_D1,,https://www.charlotte.edu,3
cmou692f9009xqt1gxdgwjsm8,University of North Florida,university-of-north-florida,Jacksonville,FL,,NCAA_D1,,https://www.unf.edu,4
cmosownxt000uqtuozt3yykq9,University of Notre Dame,university-of-notre-dame,Notre Dame,IN,,NCAA_D1,,https://www.nd.edu,4
cmossumsw0043qtpgqq3re2qg,University of Oregon,university-of-oregon,Eugene,OR,,NCAA_D1,,https://www.uoregon.edu,4
cmosownzc000xqtuoxng8rral,University of Pittsburgh,university-of-pittsburgh,Pittsburgh,PA,,NCAA_D1,,https://www.pitt.edu,3
cmou65qee008xqt1o7ljwn00l,University of Rhode Island,university-of-rhode-island,Kingston,RI,,NCAA_D1,,https://www.uri.edu,4
cmou65qft0090qt1oyy3qt0xa,University of Richmond,university-of-richmond,Richmond,VA,,NCAA_D1,,https://www.richmond.edu,4
cmou57eff0080qtdwllt5e1ya,University of South Florida,university-of-south-florida,Tampa,FL,,NCAA_D1,,https://www.usf.edu,5
cmossumrj0040qtpg5nfsfxij,University of Southern California,university-of-southern-california,Los Angeles,CA,,NCAA_D1,,https://www.usc.edu,4
cmou57el20089qtdwofatlmue,University of Texas at San Antonio,university-of-texas-at-san-antonio,San Antonio,TX,,NCAA_D1,,https://www.utsa.edu,5
cmosun0cp0059qtlgmyvx6gz3,University of Utah,university-of-utah,Salt Lake City,UT,,NCAA_D1,,https://www.utah.edu,4
cmorirvj4001rqtm0u610tmnb,University of Virginia,university-of-virginia,Charlottesville,VA,,NCAA_D1,,https://www.virginia.edu,5
cmossumua0046qtpg7kokmi2a,University of Washington,university-of-washington,Seattle,WA,,NCAA_D1,,https://www.washington.edu,5
cmou692js00a6qt1g8npxqitj,University of West Georgia,university-of-west-georgia,Carrollton,GA,,NCAA_D1,,https://www.westga.edu,3
cmou6bacb00b0qtickdtwuqln,Villanova University,villanova-university,Villanova,PA,,NCAA_D1,,https://www1.villanova.edu,4
cmou65qk50099qt1olu75tu27,Virginia Commonwealth University,virginia-commonwealth-university,Richmond,VA,,NCAA_D1,,https://www.vcu.edu,4
cmorirvkj001uqtm0xddfcy1n,Virginia Tech,virginia-tech,Blacksburg,VA,,NCAA_D1,,https://www.vt.edu,4
cmorirv2b000uqtm0d0xcn8m3,Wake Forest University,wake-forest-university,Winston-Salem,NC,,NCAA_D1,,https://www.wfu.edu,4
cmosun0e0005cqtlgaq1vqq45,West Virginia University,west-virginia-university,Morgantown,WV,,NCAA_D1,,https://www.wvu.edu,4
